exc name,period(hr),B0x(nT),B0y(nT),B0z(nT),Bex_Re(nT),Bex_Im(nT),Bey_Re(nT),Bey_Im(nT),Bez_Re(nT),Bez_Im(nT)
orbital 2nd,11.3090617220971,26.174438942195,1.55285285952654,-708.015651351095,0.857673117233797,-1.76524699239069,1.30699607213425,0.649271759703137,0.0379644912249132,-0.0638326972811125
orbital 4th-TA 2nd-half year beat,11.3394108535628,26.174438942195,1.55285285952654,-708.015651351095,-0.0673471268641819,-0.00638101627945952,0.00260232347313371,-0.0439906377750914,1.02346479317514,0.0315755431676556
TA 2nd-orbital beat,22.5016173922003,26.174438942195,1.55285285952654,-708.015651351095,-1.27449111850918,-0.916919116940297,-0.919569946232082,1.33710447329035,-0.0591367730820975,-0.033627612177157
true anomaly,22.55972,26.174438942195,1.55285285952654,-708.015651351095,-14.1671834774367,-36.321341814202,17.4410760334462,-6.36018296118698,-0.474490582551426,-1.39442731017346
orbital,22.6181234441941,26.174438942195,1.55285285952654,-708.015651351095,-0.370501223146767,0.727118163747277,0.779786667186137,0.450455260168023,-0.0326667999588391,0.0793725874947482
orbital 2nd-TA beat,22.6768300672965,26.174438942195,1.55285285952654,-708.015651351095,0.346558531134538,0.503685599770772,-0.277080909170185,0.164573424412197,-6.95950722849156,-8.95019839750623
orbital 2nd-TA-year beat,22.6788217071256,26.174438942195,1.55285285952654,-708.015651351095,-0.197169012859503,-1.77291666836924,0.843741461212194,-0.277240067972254,1.11533076113261,35.7263408250006
orbital 2nd-TA-half year beat,22.6808136968253,26.174438942195,1.55285285952654,-708.015651351095,0.138224271698696,-0.313866602227229,0.186944493150459,-0.0301623478449686,-3.0158070978072,4.8356893774438
