Name,Lat,Lon
Glen Haven Community Center,36.12980225928077,-79.79621575090208
Autumn Trace Community Enrichment Center,36.07253209145426,-79.86011797973948
United Montagnard Christian Church,36.056554019954525,-79.75722573556061
Faith Action International House (FAIH),36.04728182012975,-79.84007543741184
New Arrivals Institute (NAI),36.075416240207005,-79.82992487603742
Family Success Center (FSC),36.05644392025785,-79.79035657418696
Greensboro Urban Ministry (GUM),36.06430010789355,-79.793922720217
Salvation Army Center of Hope,36.05760783752318,-79.79214603000764
YWCA,36.08780474271154,-79.76144769693349
Prince of Peace Lutheran Church,36.05859204095786,-79.80002929932081
Shiloh Holiness COGIC,36.01569701059095,-79.78816544535222
Hinshaw UMC,36.03357684574373,-79.86441262620436
Westover Church,36.07964620823373,-79.87226825686703
Oakwood Forest Community Center,36.13694818419178,-79.73583341651639
Pathways Center,36.12806147704818,-79.78872394150504
Harm Reduction,36.06888546261904,-79.81472173301437
Interactive Resource Center,36.071176607027624,-79.78311334096587
New Zion Missionary Baptist Church,36.06492895241971,-79.78608770233362
Reidsville Salvation Army & Soup Kitchen,36.36381009257555,-79.66448915730827
Rockingham Hope,36.43411719859866,-79.70249745615037
Eden Salvation Army,36.5104670197537,-79.75749094077602
Home of Refugee,36.51843991792702,-79.69548382430364
Lot 25/40 & Mobile,36.40599017615665,-79.96811076467885
Freedoms Hope,36.103991528474374,-79.44217035516532
"SBT Community Center, Burlington Housing Authority",36.099371908047345,-79.43086015516732
Salvation Army Burlington,36.08511744519847,-79.42434865517345
City Gate Dream Center,36.096527188573134,-79.41271227050983
African Services Coalition (ASC) & Church World Services (CWS),36.073451224423984,-79.78923349611044
Episcopal Church of the Holy Spirit,36.13624940765958,-79.77615973205754
Reidsville Soup Kitchen,36.363133332712174,-79.66674392040186
Clara F. Gunn Center,36.350660731331416,-79.68127397437999
Southern Alamance Family Empowerment (S.A.F.E.),35.94193018295988,-79.34289281856955
Jewish Family Services,36.0878641484114,-79.883278085784
Elm Grove Baptist Church,36.291295112650985,-79.66060386203633
Oak Ridge United Methodist Church,36.178225852133615,-79.97824703205615
First Baptist Church,36.08846235973198,-80.25107260330655
New Zion Missionary Baptist Church,36.099570057089856,-80.2290454096783
United Institutional Baptist Church,36.0715746443954,-79.78182320322445
Ebenezer Baptist Church,36.01456203786862,-79.85442920322636
Sharpe Road Church of Christ,36.04728354708163,-79.7188831328129
Sunnycrest Church of Christ,36.345018064003625,-79.69384973279953
Cornerstone Community Church,36.125188270491186,-79.71812130794332
St. Puisx Catholic Church,36.10366706730468,-79.78683201671784
First Presbyterian Church,36.35792031140116,-79.66682057437984
Christ Lutheran Church,36.117064271025484,-79.82676067438783
St. Phillip AME Zion,36.05347379424238,-79.79702121856583
Mt Hermon Baptist,36.45867144330259,-79.55321058787091
Trinity Worship Center,36.081265030752974,-79.49940943205945
Mt. Sinai Baptist Church,36.494220171980366,-79.76823257437525
Owerline Church of the Nazarene,36.114341105247874,-79.52005453205832
Sharon Baptist Church,36.442922549157956,-79.93423083020102
Oakridge First Baptist Church,36.18021303271299,-79.97706481671537
Evangel Fellowship C.O.G.I.C.,36.11351819905238,-79.74657012901297
Holy Cross Catholic Church,36.114379538049505,-80.0842843167175
Wesley Chapel UMC,36.2916706820272,-79.65155937438205
St. Paul UMC,36.35617201062553,-79.68041317437982
Midway UMC,36.2738899228416,-79.78192956088817
St. Paul the Apostle Catholic Church,36.11742347185463,-79.87819698788223
Guilford Park Presbyterian,36.10062396629833,-79.81765507438836
True Salvation Christian,36.068337827906234,-79.76113667438943
Palestine United Methodist,36.309255590609474,-79.99400997857262
Zion Baptist Church,36.35600101284251,-79.67363853205026
Locust Grove Baptist Church,36.21239674693917,-79.70423941671427
Baptist Temple,36.371295117337056,-79.67238848972012
Hawfields Presbyterian Church,36.05895703302985,-79.30649138973045
Korean Presbyterian Church,36.08296647246526,-79.91170530322417
Clara Gunn,36.35067190953117,-79.6812864444637
