,/cortex_single_image,/cortex_timelapse
0,2.2273146082667408,1.175397021039175
1,,1.5974500107202372
2,,1.5482508300305455
3,,1.585621209914955
4,,1.6349786466490295
5,,1.6764216992035204
6,,1.7153021406192868
7,,1.7876556460288275
8,,1.6999729533403236
9,,1.6658242490069344
10,,1.6785837720351375
11,,1.6222384034798931
12,,1.7106959191056788
13,,1.7078518235221074
14,,1.6857144337905394
15,,1.784433255156501
16,,1.7850082077796474
17,,1.766041503519881
18,,1.8707078609158256
19,,1.9000662342185473
20,,1.7420936469796078
21,,1.9093826850930977
22,,1.8362894219557595
23,,1.92993511772252
24,,2.045934086553375
25,,1.9329700221840809
26,,1.968114083441495
27,,2.049599748931059
28,,1.9582175753949869
29,,2.0741244864868964
30,,2.0798874634633466
31,,2.117806732490019
32,,2.1072489115129978
33,,2.1198983596526113
34,,2.2273146082667408
35,,2.264671332205822
36,,2.4144443526973745
37,,2.2023728726603076
38,,2.3168709869809216
39,,2.4657345150332293
40,,2.3842660002808014
